row_id,date,country,store,product,num_sold,kfold
1531,2015-03-27,Finland,KaggleMart,Kaggle Hat,389,1
25395,2018-11-11,Sweden,KaggleRama,Kaggle Mug,549,3
23393,2018-07-23,Norway,KaggleRama,Kaggle Sticker,297,3
5495,2015-11-02,Finland,KaggleRama,Kaggle Sticker,147,1
22054,2018-05-10,Finland,KaggleRama,Kaggle Hat,825,2
16268,2017-06-22,Sweden,KaggleMart,Kaggle Sticker,99,2
9409,2016-06-06,Sweden,KaggleMart,Kaggle Hat,390,0
4272,2015-08-26,Norway,KaggleMart,Kaggle Mug,270,2
7848,2016-03-12,Finland,KaggleMart,Kaggle Mug,192,2
16018,2017-06-08,Sweden,KaggleRama,Kaggle Hat,862,4
5435,2015-10-29,Sweden,KaggleRama,Kaggle Sticker,161,3
1489,2015-03-24,Sweden,KaggleMart,Kaggle Hat,444,4
22552,2018-06-06,Sweden,KaggleRama,Kaggle Hat,731,3
13906,2017-02-11,Norway,KaggleRama,Kaggle Hat,1133,4
15661,2017-05-20,Finland,KaggleMart,Kaggle Hat,475,2
19557,2017-12-22,Norway,KaggleRama,Kaggle Mug,666,2
5594,2015-11-07,Sweden,KaggleMart,Kaggle Sticker,140,4
4800,2015-09-24,Sweden,KaggleMart,Kaggle Mug,199,0
22057,2018-05-10,Norway,KaggleMart,Kaggle Hat,713,3
7333,2016-02-12,Norway,KaggleMart,Kaggle Hat,641,1
10783,2016-08-22,Finland,KaggleMart,Kaggle Hat,245,2
14181,2017-02-26,Sweden,KaggleRama,Kaggle Mug,462,3
13756,2017-02-03,Finland,KaggleRama,Kaggle Hat,687,2
13623,2017-01-26,Sweden,KaggleRama,Kaggle Mug,451,2
754,2015-02-11,Sweden,KaggleRama,Kaggle Hat,758,4
20912,2018-03-07,Sweden,KaggleMart,Kaggle Sticker,120,4
20114,2018-01-22,Norway,KaggleMart,Kaggle Sticker,169,2
18265,2017-10-11,Sweden,KaggleMart,Kaggle Hat,316,2
16558,2017-07-08,Sweden,KaggleRama,Kaggle Hat,805,3
7983,2016-03-19,Norway,KaggleRama,Kaggle Mug,635,0
2335,2015-05-10,Sweden,KaggleMart,Kaggle Hat,545,0
