row_id,date,country,store,product,num_sold,kfold
19623,2017-12-26,Finland,KaggleRama,Kaggle Mug,543,2
11308,2016-09-20,Finland,KaggleRama,Kaggle Hat,391,0
9148,2016-05-23,Finland,KaggleRama,Kaggle Hat,628,0
7106,2016-01-30,Sweden,KaggleMart,Kaggle Sticker,138,0
18873,2017-11-14,Norway,KaggleRama,Kaggle Mug,600,2
4863,2015-09-28,Finland,KaggleRama,Kaggle Mug,291,3
5015,2015-10-06,Norway,KaggleRama,Kaggle Sticker,245,3
10830,2016-08-24,Sweden,KaggleMart,Kaggle Mug,191,0
26280,2018-12-31,Finland,KaggleMart,Kaggle Mug,469,1
12185,2016-11-07,Sweden,KaggleRama,Kaggle Sticker,187,0
25150,2018-10-29,Finland,KaggleRama,Kaggle Hat,497,1
5834,2015-11-21,Finland,KaggleMart,Kaggle Sticker,106,3
22869,2018-06-24,Norway,KaggleRama,Kaggle Mug,635,1
18554,2017-10-27,Sweden,KaggleMart,Kaggle Sticker,112,2
23394,2018-07-23,Sweden,KaggleMart,Kaggle Mug,196,1
66,2015-01-04,Sweden,KaggleMart,Kaggle Mug,406,3
9236,2016-05-28,Finland,KaggleMart,Kaggle Sticker,111,0
519,2015-01-29,Sweden,KaggleRama,Kaggle Mug,367,3
17898,2017-09-21,Norway,KaggleMart,Kaggle Mug,305,2
24745,2018-10-06,Sweden,KaggleMart,Kaggle Hat,408,1
7319,2016-02-11,Norway,KaggleRama,Kaggle Sticker,228,0
22564,2018-06-07,Norway,KaggleRama,Kaggle Hat,1119,1
17921,2017-09-22,Norway,KaggleRama,Kaggle Sticker,284,2
22399,2018-05-29,Norway,KaggleMart,Kaggle Hat,685,1
19259,2017-12-05,Sweden,KaggleRama,Kaggle Sticker,189,2
12815,2016-12-12,Sweden,KaggleRama,Kaggle Sticker,168,0
17768,2017-09-14,Finland,KaggleMart,Kaggle Sticker,95,2
3609,2015-07-20,Norway,KaggleRama,Kaggle Mug,428,3
7937,2016-03-16,Sweden,KaggleRama,Kaggle Sticker,182,0
21099,2018-03-18,Finland,KaggleRama,Kaggle Mug,464,1
18103,2017-10-02,Sweden,KaggleMart,Kaggle Hat,315,2
14601,2017-03-22,Finland,KaggleRama,Kaggle Mug,335,2
10009,2016-07-10,Finland,KaggleMart,Kaggle Hat,356,0
24551,2018-09-25,Sweden,KaggleRama,Kaggle Sticker,210,1
13888,2017-02-10,Norway,KaggleRama,Kaggle Hat,1017,2
16743,2017-07-19,Finland,KaggleRama,Kaggle Mug,262,2
11606,2016-10-06,Sweden,KaggleMart,Kaggle Sticker,102,0
5954,2015-11-27,Sweden,KaggleMart,Kaggle Sticker,115,3
15952,2017-06-05,Finland,KaggleRama,Kaggle Hat,632,2
16870,2017-07-26,Finland,KaggleRama,Kaggle Hat,533,2
10696,2016-08-17,Finland,KaggleRama,Kaggle Hat,443,0
6479,2015-12-26,Sweden,KaggleRama,Kaggle Sticker,266,3
25674,2018-11-27,Norway,KaggleMart,Kaggle Mug,363,1
860,2015-02-17,Sweden,KaggleMart,Kaggle Sticker,100,3
24328,2018-09-13,Norway,KaggleRama,Kaggle Hat,858,1
22599,2018-06-09,Norway,KaggleRama,Kaggle Mug,575,1
1376,2015-03-18,Norway,KaggleMart,Kaggle Sticker,139,3
20146,2018-01-24,Finland,KaggleRama,Kaggle Hat,673,1
26133,2018-12-22,Sweden,KaggleRama,Kaggle Mug,515,1
19347,2017-12-10,Sweden,KaggleRama,Kaggle Mug,542,2
9873,2016-07-02,Norway,KaggleRama,Kaggle Mug,511,0
23041,2018-07-04,Finland,KaggleMart,Kaggle Hat,333,1
20304,2018-02-02,Finland,KaggleMart,Kaggle Mug,237,1
2597,2015-05-25,Finland,KaggleRama,Kaggle Sticker,159,3
25135,2018-10-28,Norway,KaggleMart,Kaggle Hat,628,1
13053,2016-12-26,Finland,KaggleRama,Kaggle Mug,466,0
18900,2017-11-16,Finland,KaggleMart,Kaggle Mug,205,2
505,2015-01-29,Finland,KaggleMart,Kaggle Hat,307,3
4868,2015-09-28,Norway,KaggleMart,Kaggle Sticker,144,3
17056,2017-08-05,Norway,KaggleRama,Kaggle Hat,1044,2
21320,2018-03-30,Norway,KaggleMart,Kaggle Sticker,178,1
12567,2016-11-29,Finland,KaggleRama,Kaggle Mug,339,0
10511,2016-08-06,Sweden,KaggleRama,Kaggle Sticker,238,0
18048,2017-09-29,Sweden,KaggleMart,Kaggle Mug,213,2
24181,2018-09-05,Norway,KaggleMart,Kaggle Hat,461,1
956,2015-02-23,Finland,KaggleMart,Kaggle Sticker,84,3
25267,2018-11-04,Sweden,KaggleMart,Kaggle Hat,394,1
26248,2018-12-29,Finland,KaggleRama,Kaggle Hat,1895,1
6430,2015-12-24,Finland,KaggleRama,Kaggle Hat,493,3
1523,2015-03-26,Norway,KaggleRama,Kaggle Sticker,239,3
745,2015-02-11,Norway,KaggleMart,Kaggle Hat,540,3
17633,2017-09-06,Norway,KaggleRama,Kaggle Sticker,274,2
6732,2016-01-10,Finland,KaggleMart,Kaggle Mug,275,0
8568,2016-04-21,Finland,KaggleMart,Kaggle Mug,144,0
16621,2017-07-12,Norway,KaggleMart,Kaggle Hat,499,2
15328,2017-05-01,Norway,KaggleRama,Kaggle Hat,1160,2
5705,2015-11-13,Sweden,KaggleRama,Kaggle Sticker,190,3
8366,2016-04-09,Sweden,KaggleMart,Kaggle Sticker,127,0
13183,2017-01-02,Norway,KaggleMart,Kaggle Hat,661,2
8981,2016-05-13,Sweden,KaggleRama,Kaggle Sticker,186,0
23465,2018-07-27,Norway,KaggleRama,Kaggle Sticker,295,1
17142,2017-08-10,Norway,KaggleMart,Kaggle Mug,272,2
23006,2018-07-02,Finland,KaggleMart,Kaggle Sticker,102,1
4287,2015-08-27,Finland,KaggleRama,Kaggle Mug,263,3
14524,2017-03-17,Sweden,KaggleRama,Kaggle Hat,737,2
23618,2018-08-05,Finland,KaggleMart,Kaggle Sticker,129,1
20672,2018-02-22,Norway,KaggleMart,Kaggle Sticker,161,1
15672,2017-05-20,Sweden,KaggleMart,Kaggle Mug,222,2
11321,2016-09-20,Sweden,KaggleRama,Kaggle Sticker,187,0
14276,2017-03-04,Finland,KaggleMart,Kaggle Sticker,119,2
13499,2017-01-19,Sweden,KaggleRama,Kaggle Sticker,179,2
11368,2016-09-23,Norway,KaggleRama,Kaggle Hat,676,0
6868,2016-01-17,Norway,KaggleRama,Kaggle Hat,1163,0
6545,2015-12-30,Norway,KaggleRama,Kaggle Sticker,613,3
22384,2018-05-28,Norway,KaggleRama,Kaggle Hat,1301,1
